dev_f1,dev_false_positive_rate,dev_precision,dev_recall,fusion_a,fusion_b,method,safe_allowed,safe_preferred,test_f1,test_false_positive_rate,test_precision,test_recall,top_k,use_fusion_logit,variant
0.9748470428280082,0.0,1.0,0.9509283819628647,2.0,0.25,stage1_stage2_logit_fusion,True,True,0.968944099378882,0.0049833887043189366,0.9957446808510638,0.9435483870967742,3,True,stage2_bce_supcon
0.9720518064076346,0.0,1.0,0.9456233421750663,2.0,0.5,stage1_stage2_logit_fusion,True,True,0.9631688672689367,0.0033222591362126247,0.9971223021582734,0.9314516129032258,3,True,stage2_bce_supcon
0.9672131147540984,0.0035026269702276708,0.9971830985915493,0.9389920424403183,2.0,1.0,stage1_stage2_logit_fusion,True,True,0.9519163763066202,0.013289036544850499,0.9884225759768451,0.918010752688172,3,True,stage2_bce_supcon
0.9748470428280082,0.0,1.0,0.9509283819628647,0.5,0.0,stage1_stage2_logit_fusion,True,True,0.9675190048375951,0.0049833887043189366,0.9957325746799431,0.9408602150537635,5,True,stage2_bce_supcon
0.9672131147540984,0.0035026269702276708,0.9971830985915493,0.9389920424403183,0.5,0.25,stage1_stage2_logit_fusion,True,True,0.9519163763066202,0.013289036544850499,0.9884225759768451,0.918010752688172,5,True,stage2_bce_supcon
0.9573002754820935,0.005253940455341506,0.995702005730659,0.9217506631299734,0.5,0.5,stage1_stage2_logit_fusion,True,True,0.9416725228390724,0.014950166112956811,0.9867452135493373,0.9005376344086021,5,True,stage2_bce_supcon
0.9502074688796681,0.008756567425569177,0.9927745664739884,0.9111405835543767,0.5,1.0,stage1_stage2_logit_fusion,True,True,0.9337094499294781,0.019933554817275746,0.9821958456973294,0.8897849462365591,5,True,stage2_bce_supcon
0.9748470428280082,0.0,1.0,0.9509283819628647,1.0,0.0,stage1_stage2_logit_fusion,True,True,0.9675190048375951,0.0049833887043189366,0.9957325746799431,0.9408602150537635,5,True,stage2_bce_supcon
0.9720518064076346,0.0,1.0,0.9456233421750663,1.0,0.25,stage1_stage2_logit_fusion,True,True,0.9631688672689367,0.0033222591362126247,0.9971223021582734,0.9314516129032258,5,True,stage2_bce_supcon
0.9672131147540984,0.0035026269702276708,0.9971830985915493,0.9389920424403183,1.0,0.5,stage1_stage2_logit_fusion,True,True,0.9519163763066202,0.013289036544850499,0.9884225759768451,0.918010752688172,5,True,stage2_bce_supcon
0.9573002754820935,0.005253940455341506,0.995702005730659,0.9217506631299734,1.0,1.0,stage1_stage2_logit_fusion,True,True,0.9416725228390724,0.014950166112956811,0.9867452135493373,0.9005376344086021,5,True,stage2_bce_supcon
0.9748470428280082,0.0,1.0,0.9509283819628647,1.5,0.0,stage1_stage2_logit_fusion,True,True,0.9675190048375951,0.0049833887043189366,0.9957325746799431,0.9408602150537635,5,True,stage2_bce_supcon
0.9727520435967303,0.0,1.0,0.946949602122016,1.5,0.25,stage1_stage2_logit_fusion,True,True,0.9674740484429066,0.0033222591362126247,0.9971469329529244,0.9395161290322581,5,True,stage2_bce_supcon
0.9699863574351978,0.0017513134851138354,0.9985955056179775,0.9429708222811671,1.5,0.5,stage1_stage2_logit_fusion,True,True,0.9588276343335659,0.0033222591362126247,0.9970972423802612,0.9233870967741935,5,True,stage2_bce_supcon
0.9637234770704995,0.005253940455341506,0.9957567185289957,0.9336870026525199,1.5,1.0,stage1_stage2_logit_fusion,True,True,0.9513212795549373,0.016611295681063124,0.9855907780979827,0.9193548387096774,5,True,stage2_bce_supcon
0.9748470428280082,0.0,1.0,0.9509283819628647,2.0,0.0,stage1_stage2_logit_fusion,True,True,0.9675190048375951,0.0049833887043189366,0.9957325746799431,0.9408602150537635,5,True,stage2_bce_supcon
0.9748470428280082,0.0,1.0,0.9509283819628647,2.0,0.25,stage1_stage2_logit_fusion,True,True,0.968944099378882,0.0049833887043189366,0.9957446808510638,0.9435483870967742,5,True,stage2_bce_supcon
0.9720518064076346,0.0,1.0,0.9456233421750663,2.0,0.5,stage1_stage2_logit_fusion,True,True,0.9631688672689367,0.0033222591362126247,0.9971223021582734,0.9314516129032258,5,True,stage2_bce_supcon
0.9672131147540984,0.0035026269702276708,0.9971830985915493,0.9389920424403183,2.0,1.0,stage1_stage2_logit_fusion,True,True,0.9519163763066202,0.013289036544850499,0.9884225759768451,0.918010752688172,5,True,stage2_bce_supcon
0.9748470428280082,0.0,1.0,0.9509283819628647,0.5,0.0,stage1_stage2_logit_fusion,True,True,0.9675190048375951,0.0049833887043189366,0.9957325746799431,0.9408602150537635,8,True,stage2_bce_supcon
0.9672131147540984,0.0035026269702276708,0.9971830985915493,0.9389920424403183,0.5,0.25,stage1_stage2_logit_fusion,True,True,0.9519163763066202,0.013289036544850499,0.9884225759768451,0.918010752688172,8,True,stage2_bce_supcon
0.9573002754820935,0.005253940455341506,0.995702005730659,0.9217506631299734,0.5,0.5,stage1_stage2_logit_fusion,True,True,0.9416725228390724,0.014950166112956811,0.9867452135493373,0.9005376344086021,8,True,stage2_bce_supcon
0.9502074688796681,0.008756567425569177,0.9927745664739884,0.9111405835543767,0.5,1.0,stage1_stage2_logit_fusion,True,True,0.9337094499294781,0.019933554817275746,0.9821958456973294,0.8897849462365591,8,True,stage2_bce_supcon
0.9748470428280082,0.0,1.0,0.9509283819628647,1.0,0.0,stage1_stage2_logit_fusion,True,True,0.9675190048375951,0.0049833887043189366,0.9957325746799431,0.9408602150537635,8,True,stage2_bce_supcon
0.9720518064076346,0.0,1.0,0.9456233421750663,1.0,0.25,stage1_stage2_logit_fusion,True,True,0.9631688672689367,0.0033222591362126247,0.9971223021582734,0.9314516129032258,8,True,stage2_bce_supcon
0.9672131147540984,0.0035026269702276708,0.9971830985915493,0.9389920424403183,1.0,0.5,stage1_stage2_logit_fusion,True,True,0.9519163763066202,0.013289036544850499,0.9884225759768451,0.918010752688172,8,True,stage2_bce_supcon
0.9573002754820935,0.005253940455341506,0.995702005730659,0.9217506631299734,1.0,1.0,stage1_stage2_logit_fusion,True,True,0.9416725228390724,0.014950166112956811,0.9867452135493373,0.9005376344086021,8,True,stage2_bce_supcon
0.9748470428280082,0.0,1.0,0.9509283819628647,1.5,0.0,stage1_stage2_logit_fusion,True,True,0.9675190048375951,0.0049833887043189366,0.9957325746799431,0.9408602150537635,8,True,stage2_bce_supcon
0.9727520435967303,0.0,1.0,0.946949602122016,1.5,0.25,stage1_stage2_logit_fusion,True,True,0.9674740484429066,0.0033222591362126247,0.9971469329529244,0.9395161290322581,8,True,stage2_bce_supcon
0.9699863574351978,0.0017513134851138354,0.9985955056179775,0.9429708222811671,1.5,0.5,stage1_stage2_logit_fusion,True,True,0.9588276343335659,0.0033222591362126247,0.9970972423802612,0.9233870967741935,8,True,stage2_bce_supcon
0.9637234770704995,0.005253940455341506,0.9957567185289957,0.9336870026525199,1.5,1.0,stage1_stage2_logit_fusion,True,True,0.9513212795549373,0.016611295681063124,0.9855907780979827,0.9193548387096774,8,True,stage2_bce_supcon
0.9748470428280082,0.0,1.0,0.9509283819628647,2.0,0.0,stage1_stage2_logit_fusion,True,True,0.9675190048375951,0.0049833887043189366,0.9957325746799431,0.9408602150537635,8,True,stage2_bce_supcon
0.9748470428280082,0.0,1.0,0.9509283819628647,2.0,0.25,stage1_stage2_logit_fusion,True,True,0.968944099378882,0.0049833887043189366,0.9957446808510638,0.9435483870967742,8,True,stage2_bce_supcon
0.9720518064076346,0.0,1.0,0.9456233421750663,2.0,0.5,stage1_stage2_logit_fusion,True,True,0.9631688672689367,0.0033222591362126247,0.9971223021582734,0.9314516129032258,8,True,stage2_bce_supcon
0.9672131147540984,0.0035026269702276708,0.9971830985915493,0.9389920424403183,2.0,1.0,stage1_stage2_logit_fusion,True,True,0.9519163763066202,0.013289036544850499,0.9884225759768451,0.918010752688172,8,True,stage2_bce_supcon
